x y
664 00069
665 00068
666 00072
667 00074
668 00080
669 00086
670 00098
671 00104
672 00113
673 00124
674 00134
675 00144
676 00156
677 00163
678 00170
679 00179
680 00186
681 00193
682 00202
683 00210
684 00219
685 00228
686 00241
687 00250
688 00259
689 00269
690 00276
691 00284
692 00291
693 00301
694 00309
695 00317
696 00329
697 00339
698 00349
699 00365
700 00377
701 00390
702 00402
703 00418
704 00429
705 00440
706 00453
707 00463
708 00473
709 00482
710 00493
711 00501
712 00510
713 00523
714 00531
715 00539
716 00549
717 00563
718 00575
719 00587
720 00605
721 00619
722 00634
723 00655
724 00670
725 00686
726 00701
727 00723
728 00740
729 00757
730 00772
731 00792
732 00808
733 00826
734 00850
735 00868
736 00886
737 00905
738 00929
739 00946
740 00964
741 00987
742 01004
743 01019
744 01035
745 01046
746 01057
747 01069
748 01085
749 01098
750 01110
751 01123
752 01139
753 01151
754 01161
755 01173
756 01181
757 01190
758 01202
759 01211
760 01221
761 01231
762 01245
763 01255
764 01264
765 01275
766 01283
767 01293
768 01301
769 01312
770 01320
771 01327
772 01335
773 01345
774 01353
775 01360
776 01369
777 01374
778 01381
779 01388
780 01400
781 01409
782 01418
783 01428
784 01439
785 01446
786 01452
787 01458
788 01468
789 01474
790 01481
791 01488
792 01494
793 01500
794 01508
795 01514
796 01520
797 01526
798 01534
799 01541
800 01547
801 01555
802 01561
803 01566
804 01572
805 01580
806 01585
807 01590
808 01597
809 01603
810 01608
811 01613
812 01620
813 01625
814 01630
815 01637
816 01643
817 01649
818 01656
819 01662
820 01667
821 01673
822 01680
823 01685
824 01691
825 01696
826 01703
827 01708
828 01714
829 01721
830 01727
831 01733
832 01738
833 01746
834 01752
835 01758
836 01765
837 01771
838 01777
839 01784
840 01790
841 01795
842 01803
843 01812
844 01819
845 01828
846 01838
847 01844
848 01851
849 01857
850 01866
851 01874
852 01882
853 01893
854 01901
855 01908
856 01914
857 01924
858 01933
859 01943
860 01955
861 01965
862 01974
863 01984
864 01997
865 02006
866 02015
867 02024
868 02029
869 02035
870 02041
871 02048
872 02053
873 02059
874 02066
875 02071
876 02077
877 02084
878 02089
879 02095
880 02101
881 02108
882 02113
883 02118
884 02125
885 02130
886 02135
887 02141
888 02149
889 02154
890 02160
891 02166
892 02173
893 02178
894 02184
895 02191
896 02196
897 02201
898 02207
899 02214
900 02219
901 02224
902 02232
903 02238
904 02244
905 02250
906 02256
907 02261
908 02267
909 02273
910 02280
911 02286
912 02292
913 02299
914 02305
915 02310
916 02316
917 02324
918 02330
919 02335
920 02344
921 02349
922 02355
923 02360
924 02368
925 02373
926 02378
927 02384
928 02389
929 02396
930 02401
931 02406
932 02413
933 02418
934 02423
935 02429
936 02436
937 02441
938 02447
939 02454
940 02458
941 02464
942 02471
943 02476
944 02481
945 02486
946 02493
947 02498
948 02504
949 02509
950 02515
951 02521
952 02526
953 02532
954 02537
955 02542
956 02547
957 02554
958 02558
959 02563
960 02568
961 02575
962 02580
963 02585
964 02591
965 02597
966 02603
967 02610
968 02620
969 02627
970 02634
971 02644
972 02651
973 02660
974 02668
975 02676
976 02684
977 02690
978 02695
979 02702
980 02706
981 02711
982 02716
983 02723
984 02728
985 02732
986 02739
987 02743
988 02748
989 02753
990 02758
991 02764
992 02769
993 02774
994 02781
995 02785
996 02791
997 02796
998 02802
999 02806
1000 02811
1001 02816
1002 02822
1003 02827
1004 02832
1005 02838
1006 02843
1007 02848
1008 02854
1009 02859
1010 02864
1011 02871
1012 02875
1013 02880
1014 02885
1015 02892
1016 02897
1017 02902
1018 02908
1019 02913
1020 02918
1021 02925
1022 02930
1023 02934
1024 02941
1025 02945
1026 02950
1027 02956
1028 02960
1029 02965
1030 02970
1031 02977
1032 02982
1033 02987
1034 02993
1035 02998
1036 03003
1037 03009
1038 03013
1039 03018
1040 03024
1041 03029
1042 03033
1043 03039
1044 03044
1045 03049
1046 03056
1047 03060
1048 03066
1049 03070
1050 03077
1051 03082
1052 03087
1053 03094
1054 03098
1055 03104
1056 03110
1057 03115
1058 03119
1059 03124
1060 03131
1061 03135
1062 03140
1063 03146
1064 03150
1065 03155
1066 03160
1067 03166
1068 03172
1069 03177
1070 03183
1071 03189
1072 03193
1073 03200
1074 03205
1075 03210
1076 03216
1077 03221
1078 03226
1079 03233
1080 03238
1081 03243
1082 03250
1083 03255
1084 03260
1085 03266
1086 03273
1087 03278
1088 03283
1089 03290
1090 03295
1091 03301
1092 03308
1093 03316
1094 03323
1095 03331
1096 03339
1097 03346
1098 03354
1099 03364
1100 03372
1101 03379
1102 03384
1103 03392
1104 03398
1105 03403
1106 03411
1107 03416
1108 03422
1109 03427
1110 03436
1111 03442
1112 03448
1113 03455
1114 03461
1115 03467
1116 03473
1117 03481
1118 03487
1119 03492
1120 03500
1121 03506
1122 03512
1123 03520
1124 03527
1125 03532
1126 03538
1127 03547
1128 03553
1129 03559
1130 03566
1131 03572
1132 03578
1133 03584
1134 03593
1135 03599
1136 03605
1137 03613
1138 03618
1139 03624
1140 03630
1141 03638
1142 03643
1143 03649
1144 03658
1145 03664
1146 03669
1147 03677
1148 03683
1149 03689
1150 03695
1151 03702
1152 03709
1153 03715
1154 03723
1155 03729
1156 03735
1157 03741
1158 03749
1159 03755
1160 03761
1161 03770
1162 03776
1163 03782
1164 03789
1165 03795
1166 03800
1167 03805
1168 03813
1169 03818
1170 03824
1171 03830
1172 03838
1173 03844
1174 03849
1175 03857
1176 03863
1177 03868
1178 03875
1179 03880
1180 03886
1181 03891
1182 03898
1183 03903
1184 03908
1185 03915
1186 03920
1187 03926
1188 03930
1189 03937
1190 03942
1191 03947
1192 03954
1193 03960
1194 03965
1195 03970
1196 03976
1197 03981
1198 03986
1199 03992
1200 03998
1201 04003
1202 04008
1203 04014
1204 04019
1205 04023
1206 04030
1207 04035
1208 04040
1209 04046
1210 04052
1211 04056
1212 04061
1213 04067
1214 04072
1215 04077
1216 04082
1217 04088
1218 04092
1219 04097
1220 04103
1221 04108
1222 04113
1223 04119
1224 04123
1225 04128
1226 04135
1227 04139
1228 04144
1229 04149
1230 04155
1231 04160
1232 04164
1233 04171
1234 04176
1235 04180
1236 04185
1237 04191
1238 04195
1239 04200
1240 04206
1241 04212
1242 04216
1243 04223
1244 04227
1245 04233
1246 04238
1247 04244
1248 04249
1249 04254
1250 04261
1251 04266
1252 04271
1253 04276
1254 04283
1255 04288
1256 04293
1257 04300
1258 04305
1259 04310
1260 04316
1261 04321
1262 04326
1263 04332
1264 04338
1265 04344
1266 04349
1267 04356
1268 04361
1269 04367
1270 04372
1271 04380
1272 04385
1273 04390
1274 04398
1275 04403
1276 04409
1277 04414
1278 04421
1279 04427
1280 04432
1281 04440
1282 04445
1283 04451
1284 04458
1285 04464
1286 04469
1287 04474
1288 04482
1289 04488
1290 04494
1291 04501
1292 04507
1293 04513
1294 04518
1295 04526
1296 04532
1297 04538
1298 04545
1299 04551
1300 04556
1301 04562
1302 04570
1303 04576
1304 04581
1305 04589
1306 04594
1307 04600
1308 04607
1309 04613
1310 04618
1311 04624
1312 04631
1313 04637
1314 04642
1315 04650
1316 04655
1317 04661
1318 04669
1319 04674
1320 04680
1321 04687
1322 04693
1323 04699
1324 04705
1325 04713
1326 04718
1327 04724
1328 04731
1329 04737
1330 04742
1331 04748
1332 04756
1333 04762
1334 04768
1335 04775
1336 04782
1337 04787
1338 04793
1339 04801
1340 04808
1341 04813
1342 04821
1343 04826
1344 04833
1345 04841
1346 04847
1347 04852
1348 04859
1349 04867
1350 04873
1351 04879
1352 04887
1353 04894
1354 04899
1355 04906
1356 04914
1357 04920
1358 04927
1359 04936
1360 04943
1361 04948
1362 04956
1363 04962
1364 04968
1365 04975
1366 04982
1367 04988
1368 04995
1369 05003
1370 05008
1371 05014
1372 05021
1373 05027
1374 05033
1375 05040
1376 05046
1377 05052
1378 05060
1379 05066
1380 05071
1381 05077
1382 05084
1383 05090
1384 05096
1385 05104
1386 05110
1387 05116
1388 05123
1389 05129
1390 05134
1391 05142
1392 05148
1393 05153
1394 05161
1395 05167
1396 05172
1397 05179
1398 05186
1399 05192
1400 05198
1401 05206
1402 05212
1403 05218
1404 05225
1405 05231
1406 05237
1407 05245
1408 05251
1409 05257
1410 05263
1411 05270
1412 05277
1413 05283
1414 05291
1415 05297
1416 05303
1417 05310
1418 05316
1419 05322
1420 05330
1421 05335
1422 05341
1423 05348
1424 05355
1425 05362
1426 05370
1427 05376
1428 05383
1429 05389
1430 05398
1431 05404
1432 05410
1433 05418
1434 05424
1435 05431
1436 05440
1437 05445
1438 05452
1439 05458
1440 05465
1441 05472
1442 05480
1443 05485
1444 05491
1445 05499
1446 05504
1447 05509
1448 05517
1449 05522
1450 05529
1451 05537
1452 05543
1453 05547
1454 05555
1455 05560
1456 05566
1457 05573
1458 05578
1459 05584
1460 05591
1461 05596
1462 05601
1463 05607
1464 05614
1465 05620
1466 05625
1467 05632
1468 05637
1469 05643
1470 05650
1471 05656
1472 05661
